condition,leader,repetition,player,ioi0,ioi1,ioi2,ioi3,ioi4,ioi5,ioi6,ioi7,ioi8,ioi9,ioi10,ioi11,ioi12,ioi13,ioi14,ioi15,ioi16,ioi17,ioi18,ioi19,ioi20,ioi21,ioi22,ioi23,ioi24,ioi25,ioi26,ioi27,ioi28,ioi29,ioi30,ioi31,ioi32,ioi33,ioi34,ioi35,ioi36,ioi37,ioi38,ioi39,ioi40,ioi41,ioi42,ioi43,ioi44,ioi45
DP,VN1,3,VA,289.99999999999915,240.00000000000023,250.0,250.0,250.0,259.9999999999998,259.9999999999998,220.00000000000063,250.0,240.00000000000023,259.9999999999998,240.00000000000023,259.9999999999998,229.99999999999864,270.0000000000031,229.99999999999687,260.0000000000016,239.99999999999844,240.000000000002,239.99999999999844,250.0,240.000000000002,250.0,230.00000000000043,250.0,229.99999999999687,240.000000000002,250.0,239.99999999999844,250.0,250.0,240.000000000002,239.99999999999844,250.0,250.0,260.0000000000016,239.99999999999844,199.9999999999993,280.00000000000114,250.0,230.00000000000043,250.0,210.00000000000085,289.99999999999915,190.00000000000128,309.99999999999875
DP,VN1,3,VC,230.00000000000043,250.0,279.9999999999994,240.00000000000023,259.9999999999998,259.9999999999998,230.00000000000043,220.00000000000063,279.9999999999994,240.00000000000023,259.9999999999998,250.0,259.9999999999998,241.0879999999995,268.91200000000026,250.0,269.99999999999955,220.00000000000242,199.9999999999993,269.99999999999955,259.999999999998,200.00000000000284,269.99999999999955,219.99999999999886,289.99999999999915,260.0000000000016,250.0,199.9999999999993,230.00000000000043,250.0,259.999999999998,250.0,240.000000000002,219.99999999999886,269.99999999999955,230.00000000000043,240.000000000002,250.0,230.00000000000043,259.999999999998,260.0000000000016,230.00000000000043,259.999999999998,240.000000000002,250.0,269.99999999999955
DP,VN1,4,VN1,250.0,219.99999999999886,280.00000000000114,269.99999999999955,240.00000000000023,250.0,240.00000000000023,250.0,229.99999999999864,230.00000000000043,269.99999999999955,250.0,260.0000000000016,269.9999999999978,220.00000000000242,259.999999999998,240.000000000002,209.9999999999973,280.00000000000114,260.0000000000016,239.99999999999844,250.0,230.00000000000043,239.99999999999844,270.0000000000031,229.99999999999687,230.00000000000043,230.00000000000043,250.0,250.0,210.00000000000085,210.00000000000085,320.0000000000003,239.99999999999844,230.00000000000043,250.0,250.0,230.00000000000043,250.0,259.999999999998,230.00000000000043,240.000000000002,273.01599999999837,216.98400000000007,269.99999999999955,269.99999999999955
DP,VN1,4,VN2,269.99999999999955,250.0,189.9999999999995,290.0000000000009,250.0,239.99999999999844,260.0000000000016,250.0,219.99999999999886,269.99999999999955,270.00000000000136,240.00000000000023,259.9999999999998,259.999999999998,250.0,220.00000000000242,239.99999999999844,240.000000000002,250.0,269.99999999999955,239.99999999999844,250.0,260.0000000000016,230.00000000000043,269.99999999999955,230.00000000000043,209.9999999999973,200.00000000000284,250.0,279.9999999999976,260.0000000000016,239.99999999999844,240.000000000002,230.00000000000043,189.99999999999773,289.99999999999915,250.0,290.00000000000273,140.00000000000057,279.9999999999976,260.0000000000016,250.0,250.0,250.0,239.99999999999844,260.0000000000016
DP,VN1,4,VA,269.99999999999955,240.00000000000023,240.00000000000023,240.00000000000023,250.0,259.9999999999998,250.0,250.0,240.00000000000023,239.99999999999844,270.00000000000136,240.00000000000023,239.99999999999844,259.9999999999998,263.28799999999933,246.71200000000226,219.99999999999886,250.0,260.0000000000016,239.99999999999844,240.000000000002,250.0,250.0,229.99999999999687,180.00000000000327,299.99999999999716,260.0000000000016,250.0,179.99999999999972,280.00000000000114,250.0,239.99999999999844,250.0,250.0,219.99999999999886,250.0,240.000000000002,239.99999999999844,240.000000000002,239.99999999999844,250.0,230.00000000000043,269.99999999999955,240.000000000002,279.9999999999976,240.000000000002
DP,VN1,4,VC,230.00000000000043,239.99999999999844,290.0000000000009,240.00000000000023,250.0,230.00000000000043,259.9999999999998,199.9999999999993,269.99999999999955,270.00000000000136,250.0,250.0,250.0,257.8680000000002,252.13199999999958,259.999999999998,240.000000000002,230.00000000000043,209.9999999999973,290.00000000000273,259.999999999998,190.00000000000128,269.99999999999955,210.00000000000085,309.99999999999875,230.00000000000043,250.0,190.00000000000128,250.0,299.99999999999716,240.000000000002,239.99999999999844,230.00000000000043,240.000000000002,219.99999999999886,269.99999999999955,250.0,210.00000000000085,250.0,239.99999999999844,250.0,250.0,250.0,240.000000000002,289.99999999999915,219.99999999999886
DP,VN1,5,VN1,240.00000000000023,199.9999999999993,270.00000000000136,239.99999999999844,220.00000000000063,230.00000000000043,240.00000000000023,240.00000000000023,219.99999999999886,200.00000000000108,259.9999999999998,229.99999999999864,240.00000000000023,240.00000000000023,259.9999999999998,210.00000000000085,250.0,180.00000000000148,289.99999999999915,179.99999999999972,259.999999999998,230.00000000000043,230.00000000000043,230.00000000000043,170.0000000000017,269.99999999999955,250.0,230.00000000000043,219.99999999999886,190.00000000000128,259.999999999998,230.00000000000043,239.99999999999844,230.00000000000043,240.000000000002,219.99999999999886,239.99999999999844,230.00000000000043,230.00000000000043,230.00000000000043,210.00000000000085,239.99999999999844,251.88200000000194,218.11800000000048,239.99999999999844,240.000000000002
DP,VN1,5,VN2,259.9999999999998,230.00000000000043,239.99999999999844,240.00000000000023,230.00000000000043,240.00000000000023,240.00000000000023,209.9999999999991,230.00000000000043,199.9999999999993,260.0000000000016,229.99999999999864,259.9999999999998,220.00000000000063,220.00000000000063,230.00000000000043,250.0,250.0,210.00000000000085,219.99999999999886,189.99999999999773,260.0000000000016,239.99999999999844,220.00000000000242,219.99999999999886,280.00000000000114,210.00000000000085,189.99999999999773,269.99999999999955,200.00000000000284,279.9999999999976,220.00000000000242,219.99999999999886,239.99999999999844,170.0000000000017,259.999999999998,269.99999999999955,220.00000000000242,199.9999999999993,320.0000000000003,179.99999999999972,250.0,230.00000000000043,190.00000000000128,269.99999999999955,250.0
DP,VN1,5,VA,230.00000000000043,240.00000000000023,220.00000000000063,229.99999999999864,250.0,210.00000000000085,240.00000000000023,240.00000000000023,219.99999999999886,220.00000000000063,250.0,230.00000000000043,229.99999999999864,230.00000000000043,204.48999999999984,265.5100000000008,230.00000000000043,230.00000000000043,230.00000000000043,239.99999999999844,239.99999999999844,210.00000000000085,230.00000000000043,210.00000000000085,230.00000000000043,230.00000000000043,229.99999999999687,240.000000000002,239.99999999999844,240.000000000002,230.00000000000043,250.0,199.9999999999993,250.0,219.99999999999886,240.000000000002,219.99999999999886,190.00000000000128,259.999999999998,230.00000000000043,219.99999999999886,250.0,179.99999999999972,290.00000000000273,259.999999999998,199.9999999999993
DP,VN1,5,VC,220.00000000000063,239.99999999999844,190.00000000000128,279.9999999999994,240.00000000000023,230.00000000000043,240.00000000000023,199.9999999999993,289.99999999999915,220.00000000000063,250.0,210.00000000000085,229.99999999999864,248.73000000000013,231.27000000000032,220.00000000000063,230.00000000000043,239.99999999999844,190.00000000000128,269.99999999999955,250.0,179.99999999999972,260.0000000000016,209.9999999999973,269.99999999999955,220.00000000000242,199.9999999999993,250.0,230.00000000000043,199.9999999999993,250.0,220.27200000000136,259.72799999999904,230.00000000000043,230.00000000000043,189.99999999999773,269.99999999999955,230.00000000000043,190.00000000000128,239.99999999999844,260.0000000000016,230.00000000000043,239.99999999999844,230.00000000000043,230.00000000000043,260.0000000000016
